id,UMAP1,UMAP2,DM1,DM2,DM3,DM4,DM5,DM6,DM7,DM8,DM9,DM10,DM11,DM12,DM13,DM14,DM15,DM16,DM17,DM18,DM19,DM20,DM21,DM22,DM23,DM24,DM25,DM26,DM27,DM28,DM29,DM30
"010,031",-40.1944,5.0092,0.1380,0.0457,-0.0531,-0.0131,-0.0117,0.0865,0.1457,0.2383,-0.1937,-0.0136,0.0546,-0.1921,0.6063,-0.3339,-1.6823,-1.1562,0.8247,0.1925,0.6302,-0.2232,-0.4662,-0.3612,0.1183,0.2770,0.1929,0.4965,0.3292,-0.0262,0.0116,-0.0616
"010,032",-15.3494,12.6827,0.2419,-0.0164,-0.0172,0.0082,-0.0983,0.0662,0.0629,0.4126,-0.0942,0.2493,0.0107,-0.3596,-0.2407,-0.0916,-0.1620,0.1200,0.0984,-0.0778,-0.0318,-0.1201,0.0673,0.1016,-0.1315,0.0179,0.1153,-0.0702,-0.0237,-0.1568,0.0845,-0.1010
"010,033",48.0461,10.0059,-1.1793,0.6223,0.8619,-0.5592,-0.3042,0.2685,0.0842,-0.1052,-0.0193,0.1563,0.1921,-0.3490,-0.1237,-0.3282,0.0728,0.0879,-0.0183,0.0558,0.1680,0.0946,0.0357,0.0802,0.1601,-0.0182,0.1230,0.0295,0.0277,-0.0834,-0.0691,-0.0257
"010,034",9.0914,-18.0758,-0.0770,0.0678,-0.3157,-0.1285,0.2065,0.1649,-0.0166,-0.0928,-0.1406,-0.0672,-0.0585,0.0314,0.0112,-0.0164,0.2458,-0.0473,0.2186,0.1492,-0.0861,-0.0423,0.0708,-0.0722,-0.0869,0.0967,0.0090,0.0565,0.0103,0.1086,-0.1967,0.0405
"010,036",-35.9347,32.4352,0.2345,-0.0035,0.0252,-0.1382,0.0223,-0.0083,-0.2059,0.2399,1.0939,-0.1745,0.6903,-0.0992,-0.4414,-0.2023,-0.1782,0.1336,0.1683,0.1085,-0.0986,0.1515,0.2548,-0.2328,-0.2180,0.3677,-0.4285,0.1209,0.0914,-0.0593,-0.1883,0.5178
"010,038",16.3223,2.2329,-0.0094,0.1326,-0.0821,-0.1241,0.1520,0.1307,-0.0996,-0.0829,-0.1024,0.0344,-0.0947,0.2810,0.0442,0.1961,0.1529,-0.2560,-0.0628,0.1202,-0.1651,0.1408,0.0697,0.0521,0.0137,0.0226,0.0245,0.2069,0.2772,0.1779,-0.2142,-0.0799
"010,039",15.6128,-4.0233,-0.1162,0.0775,-0.0541,-0.0423,0.0434,0.0569,0.0114,0.0497,-0.0753,-0.0119,-0.0037,0.2062,0.0366,0.3493,0.0688,-0.1778,-0.1879,0.0108,-0.2442,0.0854,0.1712,0.0793,0.1393,0.2130,0.0089,0.1897,0.1525,-0.0904,-0.0520,-0.0396
"010,040",0.7053,-8.7965,-0.0137,-0.0109,-0.0368,0.0862,-0.0284,0.0260,0.1234,0.1377,-0.1064,-0.1360,0.0381,0.0746,0.0751,0.0480,0.1079,-0.0111,-0.1521,-0.0516,-0.0128,0.0566,0.0571,0.1399,0.2000,0.1645,0.0633,0.1645,0.1489,0.0189,-0.0460,0.1000
"010,041",-11.8261,27.3907,0.2493,0.1168,0.0627,-0.1877,-0.0138,-0.0498,-0.2536,0.0359,0.3117,0.1233,0.1399,0.2205,-0.0745,-0.0967,0.0262,-0.2783,-0.1145,-0.0356,-0.0085,0.0299,0.1083,0.0159,-0.0070,0.0486,0.0912,-0.0961,-0.0586,0.0910,-0.1027,0.1610
"010,042",10.0471,31.2083,0.2778,0.1225,0.0459,-0.1802,0.0094,-0.0685,-0.2800,0.0984,0.2434,0.1381,0.1197,0.1686,-0.1081,-0.1174,0.0251,-0.1800,-0.1286,-0.1235,-0.1596,-0.0021,0.0782,0.0141,0.0107,0.0295,0.2215,0.0939,-0.0564,0.1473,-0.2804,-0.2109
"010,045",-30.3353,34.5534,0.1461,0.0527,0.0028,-0.1663,0.2022,0.0248,-0.3071,0.0285,0.7443,-0.0610,0.3776,0.1232,-0.2651,0.0064,-0.0868,-0.0220,0.0271,0.0246,-0.0467,-0.2661,0.1381,0.3339,-0.0422,0.2760,0.1270,0.0868,-0.0881,-0.0291,-0.0432,0.3968
"010,046",-33.7780,15.5732,0.2395,0.1008,-0.0655,-0.1508,0.1284,0.1278,-0.0539,0.0206,-0.0922,0.1453,-0.0673,0.0046,0.0489,-0.2430,-0.0063,0.0586,-0.3596,-0.0964,-0.0882,0.0030,-0.1200,-0.0532,-0.0869,0.1476,0.0420,0.0194,0.0407,-0.0491,-0.0682,-0.0533
"010,048",-21.3129,10.8399,-0.1042,-0.0243,-0.1371,-0.0047,0.1015,0.1332,0.1245,0.0399,-0.0064,-0.1181,0.0305,-0.0090,-0.0030,0.0623,0.2363,-0.2943,-0.1356,-0.0973,0.1636,0.0023,0.0535,-0.0416,0.0200,0.0583,-0.0020,0.1143,0.1136,0.0682,-0.0921,0.0415
"010,049",18.6825,3.1181,-0.0924,0.1573,0.0167,-0.1011,0.0725,0.0433,-0.1264,-0.0386,-0.0897,0.0646,-0.0548,0.3750,0.0638,0.3416,0.1161,-0.2781,-0.1350,0.0709,-0.2809,0.1329,-0.0054,-0.1016,-0.0329,0.0175,0.0891,0.1449,0.3078,0.2102,-0.1607,-0.0641
"010,050",4.1281,-5.8443,-0.0333,-0.0131,-0.0151,0.0435,-0.0341,-0.0557,0.0185,0.1522,0.0278,-0.0348,0.0575,0.1069,0.1482,0.1196,-0.0598,0.2061,-0.0653,0.0570,0.1867,0.0282,0.0801,-0.1286,-0.0432,-0.0023,-0.0127,-0.0268,-0.1308,-0.1219,-0.0171,-0.0393
"010,051",14.4624,-7.7495,-0.0326,0.0934,-0.0567,-0.0884,0.1390,0.1442,0.0314,-0.0230,-0.1153,-0.0660,-0.1099,0.1924,0.0003,0.0890,0.1473,-0.1781,-0.1697,-0.1175,-0.1735,0.0682,0.0248,0.1770,0.2601,0.2936,0.0493,0.1809,0.1680,-0.2114,-0.1160,0.0922
"010,053",52.7142,10.0297,-1.4610,0.8055,1.1287,-0.7258,-0.3800,0.3746,0.0241,-0.1912,-0.0712,0.2144,0.2716,-0.4450,-0.1810,-0.4631,0.1032,0.1146,0.0120,0.1025,0.2345,0.0619,0.0546,0.0572,0.1820,-0.1037,0.1290,0.0262,0.0528,-0.0567,-0.0509,-0.0658
